type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,gradual,10.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,yes,10,10,0.01,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,yes,10,10,0.0001,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,yes,10,10,1e-05,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,yes,10,100,0.01,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,yes,10,100,0.0001,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,yes,10,100,1e-05,0.0,0.3
synthetic,sea,gradual,10.0,exclude,majority,yes,10,300,0.01,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,yes,10,300,0.0001,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,yes,10,300,1e-05,0.0,0.3
synthetic,sea,gradual,10.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,yes,10,10,0.01,0.0,0.9166666666666666
synthetic,sea,gradual,10.0,exclude,all,yes,10,10,0.0001,0.0,0.8269230769230769
synthetic,sea,gradual,10.0,exclude,all,yes,10,10,1e-05,0.0,0.8452380952380952
synthetic,sea,gradual,10.0,exclude,all,yes,10,100,0.01,0.0,0.9166666666666666
synthetic,sea,gradual,10.0,exclude,all,yes,10,100,0.0001,0.0,0.8125
synthetic,sea,gradual,10.0,exclude,all,yes,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,yes,10,300,0.01,0.0,0.9166666666666666
synthetic,sea,gradual,10.0,exclude,all,yes,10,300,0.0001,0.0,0.8125
synthetic,sea,gradual,10.0,exclude,all,yes,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,yes,10,10,0.01,0.1111111111111111,0.4305555555555556
synthetic,sea,gradual,20.0,exclude,any,yes,10,10,0.0001,0.0,0.45
synthetic,sea,gradual,20.0,exclude,any,yes,10,10,1e-05,0.05,0.325
synthetic,sea,gradual,20.0,exclude,any,yes,10,100,0.01,0.1111111111111111,0.4305555555555556
synthetic,sea,gradual,20.0,exclude,any,yes,10,100,0.0001,0.0,0.35714285714285715
synthetic,sea,gradual,20.0,exclude,any,yes,10,100,1e-05,0.0,0.25
synthetic,sea,gradual,20.0,exclude,any,yes,10,300,0.01,0.1111111111111111,0.4305555555555556
synthetic,sea,gradual,20.0,exclude,any,yes,10,300,0.0001,0.0,0.35714285714285715
synthetic,sea,gradual,20.0,exclude,any,yes,10,300,1e-05,0.0,0.25
synthetic,sea,gradual,20.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,no,10,10,1e-05,0.05,1.0
synthetic,sea,gradual,20.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,yes,10,10,0.01,0.0,0.7142857142857143
synthetic,sea,gradual,20.0,exclude,majority,yes,10,10,0.0001,0.0,0.65625
synthetic,sea,gradual,20.0,exclude,majority,yes,10,10,1e-05,0.0,0.45
synthetic,sea,gradual,20.0,exclude,majority,yes,10,100,0.01,0.0,0.7142857142857143
synthetic,sea,gradual,20.0,exclude,majority,yes,10,100,0.0001,0.0,0.6388888888888888
synthetic,sea,gradual,20.0,exclude,majority,yes,10,100,1e-05,0.0,0.7222222222222222
synthetic,sea,gradual,20.0,exclude,majority,yes,10,300,0.01,0.0,0.7142857142857143
synthetic,sea,gradual,20.0,exclude,majority,yes,10,300,0.0001,0.0,0.6388888888888888
synthetic,sea,gradual,20.0,exclude,majority,yes,10,300,1e-05,0.0,0.7222222222222222
synthetic,sea,gradual,20.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,no,10,100,0.0001,0.0,1.0
